ts	estab	tw	listen	eph_used	eph_range	pct	top_holders
09:41:14	403	367	119	567	28232	2.0	rootlessport=197 helixcode=166 ccr=38 
09:41:27	401	320	120	544	28232	1.9	rootlessport=197 helixcode=166 ccr=38 
09:41:40	405	308	120	542	28232	1.9	rootlessport=197 helixcode=166 ccr=38 
09:42:01	615	525	122	575	28232	2.0	phase3.test=2825 helixcode=2531 rootlessport=212 
09:42:44	34188	1395	121	16941	28232	60.0	phase3.test=17117 helixcode=8723 rootlessport=212 
09:43:15	11010	20317	120	28117	28232	99.6	helixcode=331 rootlessport=212 performance.tes=147 
09:43:35	745	28450	119	28109	28232	99.6	helixcode=329 rootlessport=212 performance.tes=138 
09:43:59	653	27986	119	28011	28232	99.2	helixcode=288 rootlessport=212 performance.tes=106 
09:44:13	635	3339	119	3634	28232	12.9	helixcode=277 rootlessport=212 performance.tes=96 
09:44:33	434	4077	120	4197	28232	14.9	rootlessport=212 helixcode=181 ccr=38 
09:44:44	424	4063	119	4176	28232	14.8	rootlessport=212 helixcode=181 ccr=38 
09:44:58	430	3312	119	3454	28232	12.2	rootlessport=212 helixcode=181 ccr=38 
09:45:11	424	2654	119	2806	28232	9.9	rootlessport=212 helixcode=181 ccr=38 
09:45:25	433	1292	118	1522	28232	5.4	rootlessport=212 helixcode=181 ccr=38 
09:45:39	426	79	118	320	28232	1.1	rootlessport=212 helixcode=181 ccr=38 
09:45:56	426	71	118	312	28232	1.1	rootlessport=212 helixcode=181 ccr=38 
09:46:14	430	60	118	310	28232	1.1	rootlessport=212 helixcode=181 ccr=38 
09:46:36	429	63	118	310	28232	1.1	rootlessport=212 helixcode=181 ccr=38 
09:46:50	429	65	118	310	28232	1.1	rootlessport=212 helixcode=181 ccr=38 
09:47:02	428	64	118	309	28232	1.1	rootlessport=212 helixcode=181 ccr=38 
09:47:16	428	63	118	308	28232	1.1	rootlessport=212 helixcode=181 ccr=38 
09:47:27	431	62	118	312	28232	1.1	rootlessport=212 helixcode=181 ccr=38 
09:47:41	430	68	118	317	28232	1.1	rootlessport=212 helixcode=181 ccr=38 
09:47:55	435	63	118	315	28232	1.1	rootlessport=212 helixcode=181 ccr=38 
