### claude-providers list-all (captured 2026-09-07T09:44:45Z)
ALIAS          PROVIDER         STATUS     LAYER        STRONG_MODEL            
deepseek       deepseek         orphaned   orphan       deepseek-v4-flash       
helixagent     helixagent       verified   -            helixagent-llm          
helixagent-native helixagent-native unverified existence    helixllm-multi          
helixllm-anton-qwen2-5-coder-3b-instruct-q4_k_m-f6771589d190 helixllm-anton-qwen2-5-coder-3b-instruct-q4_k_m-f6771589d190 orphaned   orphan       helixllm-anton-qwen2-5-coder-3b-instruct-q4_k_m-f6771589d190
helixllm-gateway helixllm-gateway unverified existence    helixllm-multi          
huggingface    huggingface      orphaned   orphan       Qwen/Qwen3-Coder-480B-A35B-Instruct
hyper1         hyper1           orphaned   orphan       deepseek-v4-pro         
hyper2         hyper2           orphaned   orphan       glm-5.2                 
hyper3         hyper3           orphaned   orphan       kimi-k2.7-code          
hyper4         hyper4           orphaned   orphan       qwen3.7-max             
hyper5         hyper5           orphaned   orphan       glm-5.1                 
hyper          hyper            orphaned   orphan       deepseek-v4-pro         
kc-for-coding2 kc-for-coding2   orphaned   orphan       k3-256k                 
kc-for-coding  kc-for-coding    orphaned   orphan       kimi-for-coding         
kilo           kilo             orphaned   orphan       nvidia/nemotron-3-super-120b-a12b:free
nvidia2        nvidia2          orphaned   orphan       nvidia/nemotron-3.5-lightning-30b-a3b
nvidia3        nvidia3          orphaned   orphan       minimaxai/minimax-m3    
nvidia4        nvidia4          orphaned   orphan       poolside/laguna-xs-2.1  
nvidia         nvidia           orphaned   orphan       nvidia/nemotron-3-nano-omni-30b-a3b-reasoning
opencode-zen   opencode         orphaned   orphan       nemotron-3.5-lightning-free
openrouter2    openrouter2      orphaned   orphan       dots-studio/dots-3-note-preview:free
openrouter3    openrouter3      orphaned   orphan       inclusionai/ling-3.0-flash-fin:free
openrouter4    openrouter4      orphaned   orphan       nvidia/nemotron-3-super-120b-a12b:free
openrouter5    openrouter5      orphaned   orphan       minimax/minimax-m2.7:free
openrouter     openrouter       orphaned   orphan       minimax/minimax-m3:free 
poe            poe              orphaned   orphan       google/gemma-4-31b      
sarvam         sarvam           orphaned   orphan       sarvam-105b             
zai-coding-plan zai-coding-plan  orphaned   orphan       glm-5.2                 
zai            zai              orphaned   orphan       glm-4.7-flash           
